                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.87273,                0.69049,                0.86074,                0.97277,                   0.25,                0.24795,                0.17356,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.7607,                0.58153,                0.84104,                0.97277,                   0.25,                0.24795,                0.17356,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0147,                0.54532,                0.91555,                0.97277,                   0.25,                0.24795,                0.17356,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     40,                0.95289,                0.61668,                0.87554,                0.97277,                   0.25,                0.24795,                0.17356,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     41,                0.82098,                0.57091,                0.82717,                0.97277,                   0.25,                0.24795,                0.17356,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     42,                 0.8979,                0.58656,                0.86833,                0.97277,                   0.25,                0.24795,                0.17356,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     43,                0.73166,                0.57081,                0.82554,                0.97277,                   0.25,                0.24795,                0.17356,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     44,                0.79865,                0.54267,                0.84702,                0.97277,                   0.25,                0.24795,                0.17356,                      0,                      0,                      0,              0.0011486,              0.0011486,              0.0011486
                     45,                0.82639,                0.59845,                 0.8848,                0.97277,                   0.25,                0.24795,                0.17356,                      0,                      0,                      0,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.7674,                0.45958,                0.84718,                0.97277,                   0.25,                0.24795,                0.17356,                      0,                0.08301,                      0,               0.001109,               0.001109,               0.001109
                     47,                0.78644,                0.44173,                0.85456,                0.97277,                   0.25,                0.24795,                0.17356,                      0,                0.01953,                      0,              0.0010892,              0.0010892,              0.0010892
                     48,                0.94875,                0.50081,                0.90844,                0.97277,                   0.25,                0.24795,                0.17356,                      0,                0.05957,                      0,              0.0010694,              0.0010694,              0.0010694
                     49,                0.85848,                0.60195,                0.87032,                0.97277,                   0.25,                0.24795,                0.17356,                      0,                0.05957,                      0,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.8652,                0.59271,                0.88481,                0.97277,                   0.25,                0.24795,                0.17356,                      0,                0.01562,                      0,              0.0010298,              0.0010298,              0.0010298
                     51,                0.76216,                0.54221,                 0.8217,                0.97277,                   0.25,                0.24795,                0.17356,                 4.7074,                 16.393,                 7.3704,                0.00101,                0.00101,                0.00101
                     52,                0.80461,                0.61708,                0.90209,                0.46645,                   0.75,                0.55075,                 0.4671,                0.88154,                  1.086,                0.87092,              0.0009902,              0.0009902,              0.0009902
